,PLAYER,DREB%,%DREB,STL%,%BLK
374,De'Aaron Fox,8.7,12.9,21.1,12.3
375,Jose Calderon,7.9,11.2,18.6,3.0
376,Enes Kanter,27.9,40.3,14.4,23.0
377,Alex Len,22.8,33.8,13.8,41.8
378,Kyle Collinsworth,16.2,23.2,21.5,21.4
379,Willy Hernangomez,24.8,34.4,23.7,39.0
380,Michael Beasley,19.1,28.4,14.9,24.7
381,D'Angelo Russell,12.2,18.6,20.3,11.8
382,Zaza Pachulia,22.3,32.4,24.4,15.0
383,Davon Reed,14.9,22.2,22.7,9.1
384,Luke Babbitt,12.3,18.5,6.5,11.5
385,George Hill,8.1,11.6,21.7,17.9
386,Tarik Black,18.1,26.3,23.1,57.7
387,Myke Henry,8.1,12.3,41.3,19.4
388,Johnny O'Bryant III,17.3,24.2,12.7,19.4
389,Willie Reed,20.5,31.4,12.0,50.0
390,Al Jefferson,22.7,34.2,21.3,52.3
391,Matthew Dellavedova,7.5,11.3,13.5,0.0
392,Jabari Bird,10.5,14.0,18.8,12.5
393,Tyler Cavanaugh,17.1,25.0,9.9,12.9
394,Caleb Swanigan,20.7,28.5,15.6,25.0
395,Jacob Pullen,0.0,0.0,0.0,0.0
396,Timofey Mozgov,17.8,24.3,8.8,35.1
397,Matt Costello,27.6,40.0,50.0,66.7
398,Tim Frazier,12.1,17.6,32.9,11.3
399,Boban Marjanovic,27.4,37.8,19.2,44.0
400,Deyonta Davis,18.2,28.8,9.7,36.8
401,Anthony Brown,0.0,0.0,0.0,0.0
402,Justin Patton,0.0,0.0,50.0,0.0
403,Arron Afflalo,8.2,13.1,5.2,12.2
404,Antonio Blakeney,8.9,12.8,16.3,6.3
405,Kenneth Faried,19.3,25.8,20.7,35.1
406,Tim Quarterman,18.8,21.4,0.0,0.0
407,Malcolm Miller,9.0,11.8,4.8,14.3
408,Udonis Haslem,9.2,13.2,0.0,40.0
409,Chandler Parsons,11.7,17.2,19.4,17.7
410,Jodie Meeks,10.2,15.2,17.2,5.1
411,Patrick McCaw,6.5,10.1,25.4,5.9
412,Kay Felder,10.8,14.9,14.3,14.3
413,Jordan Mickey,22.6,33.7,14.3,32.3
414,Malik Beasley,9.5,13.9,17.2,12.5
415,Kyle Singler,14.3,21.4,12.5,0.0
416,Gorgui Dieng,20.1,30.4,19.8,40.2
417,Aaron Harrison,9.1,13.2,29.0,9.1
418,Joe Young,9.1,13.2,17.5,2.7
419,Malachi Richardson,9.7,14.9,17.2,4.0
420,Antonius Cleveland,8.5,12.1,35.0,33.3
421,Damian Jones,9.3,15.5,6.3,42.9
422,Guerschon Yabusele,15.2,20.5,10.0,26.3
423,Torrey Craig,13.4,19.1,13.5,23.1
